scenario,time,body_x,body_y,body_z,velocity_x,velocity_y,velocity_z,projected_com_x,projected_com_z,predicted_com_x,predicted_com_z,left_x,left_y,left_z,left_phase,left_load,right_x,right_y,right_z,right_phase,right_load,support_x,support_z,balance_error,recovery_urgency,fallen,desired_x,desired_z,actual_displacement
walk,0,0,0,-0.000237428,0,0,-0.0142457,5.808e-05,-0.000134004,5.808e-05,-0.00355296,-0.12,0,0,1,0.380952,0.12,0,0,0,0.619048,0.0285714,0,0.0285137,0,0,-0,-1,0.000237428
walk,0.0166667,0,0,-0.000699444,0,0,-0.027721,0.000227824,-0.000402342,0.000227824,-0.00705538,-0.12,0,0,1,0.261905,0.12,0,0,0,0.738095,0.0571429,0,0.0569165,0,0,-0,-1,0.000462017
walk,0.0333333,0,0,-0.00138823,0,0,-0.041327,0.000558238,-0.00081316,0.000558238,-0.0107316,-0.12,0,0,1,0.142857,0.12,0,0,0,0.857143,0.0857143,0,0.0851599,0,0,-0,-1,0.000688784
walk,0.05,0,0,-0.00232072,0,0,-0.0559496,0.00110532,-0.00138274,0.00110532,-0.0148107,-0.12,0,0,1,0.0238095,0.12,0,0,0,0.976191,0.114286,0,0.113189,0,0,-0,-1,0.000932494
walk,0.0666667,0,0,-0.00349879,0,0,-0.0706838,0.00184985,-0.00211909,0.00184985,-0.0190832,-0.12,0,0,2,0,0.12,0,0,0,1,0.12,0,0.118169,0,0,-0,-1,0.00117806
walk,0.0833333,0,0,-0.00491833,0,0,-0.0851724,0.00277249,-0.00302659,0.00277249,-0.023468,-0.12,0.0157714,-0.0292969,2,0,0.12,0,0,0,1,0.12,0,0.117267,0,0,-0,-1,0.00141954
walk,0.1,0,0,-0.00657532,0,0,-0.0994195,0.00385393,-0.00410914,0.00385393,-0.0279698,-0.12,0.0307317,-0.0585938,2,0,0.12,0,0,0,1,0.12,0,0.116219,0,0,-0,-1,0.00165699
walk,0.116667,0,0,-0.00846581,0,0,-0.113429,0.00507504,-0.00537019,0.00507504,-0.0325932,-0.12,0.0441117,-0.0878906,2,0,0.12,0,0,0,1,0.12,0,0.11505,0,0,-0,-1,0.00189049
walk,0.133333,0,0,-0.0105859,0,0,-0.127205,0.00641699,-0.00681269,0.00641699,-0.037342,-0.12,0.0552234,-0.117188,2,0,0.12,0,0,0,1,0.12,0,0.113787,0,0,-0,-1,0.00212009
walk,0.15,0,0,-0.0129318,0,0,-0.140752,0.00786136,-0.00843915,0.00786136,-0.0422196,-0.12,0.0634952,-0.146484,2,0,0.12,0,0,0,1,0.12,0,0.112456,0,0,-0,-1,0.00234587
